L1-dcache-load-misses,iTLB-load-misses,L1-icache-load-misses,LLC-store-misses,branch-misses:u,LLC-load-misses,dTLB-load-misses,dTLB-store-misses,L2-load-misses,L2-store-misses,cycles,instructions,ns
11797367,18,2803,11,165396,10989,3860,50,11518,37,188993489,525694341,50310328
12262528,10,2570,7,164279,10322,3780,59,10396,12,190203176,531748568,50306502
5419294,8,5770,57,258667,11186,3884,97,15471,125,188824563,440745069,50274365
5671617,0,1850,82,322383,15069,3718,102,11555,62,188698757,436293593,50335028
4950996,14,2631,94,332751,11999,3748,104,11965,94,190304876,445730456,50289767
5332986,29,12550,58,309390,12249,3708,85,13382,84,187339923,436028363,50368952
5382992,14,1957,90,334757,15359,3823,90,11810,74,189916823,443543715,50298339
5393579,8,1852,62,329385,9117,3780,96,9878,79,188496942,435117740,50316982
10674871,69,4172,8,141276,7877,3042,68,18192,187599,189500875,464031917,50292886
12544101,18,2482,4,135268,7922,2968,54,8256,41,188347046,499626700,50327233
12424647,5,2176,0,134833,7751,2900,98,8159,5,188519753,499743822,50274142
10719993,15,2172,0,139958,8412,3086,157,12613,104,188017358,479090270,50281670
5948876,11,1895,50,232958,8710,2806,62,8960,55,188222402,422530567,50274462
6076639,1,2319,24,240210,8493,2811,84,8827,61,187759958,427818622,50313655
5512403,3,1928,38,235860,10237,3193,147,13472,97,184562870,416432929,50291541
5584351,7,2093,43,227183,10225,2758,62,10118,62,189745472,423385716,50329554
5502014,5,1538,45,240599,9843,2857,53,8574,31,189376892,429711034,50289136
5828823,1,1800,45,223407,8935,2821,75,8900,37,189094010,427584991,50322923
5863887,13,1756,141,218151,16185,3042,113,13929,113,189775482,426001921,50282543
6226099,11,1584,68,230052,9788,2720,81,9589,50,189622644,426800365,50327458
12217886,17,2125,81848,193362,21483,7952,3803,11124,6,190420866,524696177,50291626
12017000,8,2183,3,179544,10328,3817,40,10666,12,189042012,522465169,50321682
12049550,18,2447,42,218626,13158,3851,56,10618,0,190092414,521650483,50280351
5225627,6,2600,61,335892,13638,3710,103,11945,97,189938504,443974873,50321443
5296529,10,2262,52,325499,11217,3613,108,11867,116,188935406,445435872,50287201
5082446,16,3039,92,325032,12397,3930,107,10770,44,190299723,448878025,50350175
4871877,10,5685,33,308839,13652,3928,134,11863,87,188818044,441435871,50274978
5490318,18,2767,146,327949,11733,3660,104,13107,94,189747617,447024303,50325531
5357234,4,2733,41,311972,21666,9270,8015,22266,94360,188737639,438329425,50300889
8772455,10,1776,12,116832,7407,2769,38,7958,43,189904140,492862996,50330905
8478068,4,1862,6,120353,7720,2777,46,7686,5,188144430,489895557,50275313
8384158,5,1904,4,121241,7571,2813,33,7483,0,183536033,481354215,50347770
7106473,0,1947,10,118296,10247,3305,21,12607,11,185390422,463778445,50275852
4702157,0,1854,4,278642,9655,3104,6,9453,0,189161556,465640716,50318575
4366425,9,1769,8,285020,11428,3674,0,10105,5,188617120,464408025,50290036
4299987,3,1910,11,276312,10138,3267,3,8981,12,188892317,468734090,50316089
4359974,0,2131,11,288301,9317,3167,12,8075,0,187282192,464930966,50279655
4602063,0,1855,3,286607,8834,3316,9,8343,12,189152052,468977000,50339159
